Date,Open,High,Low,Close,Volume,NASDAQ
2020-10-15,11426.60254,11569.91406,11303.60352,11495.34961,24487233058.0,11713.87012
2020-10-16,11502.82813,11540.06152,11223.0127,11322.12305,25635480772.0,11671.55957
2020-10-17,11322.12305,11386.26172,11285.3457,11358.10156,19130430174.0,11671.55957
2020-10-18,11355.98242,11483.35938,11347.57813,11483.35938,18283314340.0,11671.55957
2020-10-19,11495.03809,11799.09277,11408.29004,11742.03711,23860769928.0,11478.87988
2020-10-20,11745.97461,11999.91797,11681.48047,11916.33496,30915821592.0,11516.49023
2020-10-21,11913.07715,13184.56641,11900.92871,12823.68945,43414712626.0,11484.69043
2020-10-22,12801.63574,13161.59375,12717.09375,12965.8916,34729759598.0,11506.00977
2020-10-23,12971.54883,13015.96191,12752.64746,12931.53906,28974975003.0,11548.28027
2020-10-24,12931.57422,13145.06641,12885.74707,13108.0625,24542317940.0,11548.28027
2020-10-25,13108.06348,13329.18359,12910.06152,13031.17383,24406920575.0,11548.28027
2020-10-26,13031.20117,13225.29785,12822.38281,13075.24805,29461458313.0,11358.94043
2020-10-27,13075.24219,13759.66895,13060.83789,13654.21875,33749878156.0,11431.34961
2020-10-28,13654.21484,13837.69531,12932.25098,13271.28516,35867318895.0,11004.87012
2020-10-29,13271.29883,13612.04785,12980.05957,13437.88281,56499499598.0,11185.58984
2020-10-30,13437.87402,13651.5166,13136.19824,13546.52246,30581485201.0,10911.58984
2020-10-31,13546.53223,14028.21387,13457.53027,13780.99512,30306464719.0,10911.58984
2020-11-01,13780.99512,13862.0332,13628.37793,13737.10938,24453857900.0,10911.58984
2020-11-02,13737.03223,13808.32324,13243.16016,13550.48926,30771455468.0,10957.61035
2020-11-03,13550.45117,13984.98145,13325.44141,13950.30078,29869951617.0,11160.57031
2020-11-04,13950.48828,14218.7666,13580.47168,14133.70703,35116364962.0,11590.78027
2020-11-05,14133.7334,15706.4043,14102.08887,15579.84863,40856321439.0,11890.92969
2020-11-06,15579.72949,15903.4375,15226.83984,15565.88086,39837841971.0,11895.23047
2020-11-07,15565.88086,15737.0957,14423.20313,14833.75391,35024953706.0,11895.23047
2020-11-08,14833.75391,15637.32031,14744.11035,15479.56738,26632075029.0,11895.23047
2020-11-09,15479.5957,15785.13672,14865.5293,15332.31543,34149115566.0,11713.78027
2020-11-10,15332.35059,15450.3291,15124.95996,15290.90234,25574938143.0,11553.86035
2020-11-11,15290.90918,15916.26074,15290.00684,15701.33984,29772374934.0,11786.42969
2020-11-12,15701.29883,16305.00391,15534.77148,16276.34375,34175758344.0,11709.58984
2020-11-13,16276.44043,16463.17773,15992.15234,16317.80859,31599492172.0,11829.29004
2020-11-14,16317.80859,16317.80859,15749.19336,16068.13867,27481710135.0,11829.29004
2020-11-15,16068.13965,16123.11035,15793.53418,15955.58789,23653867583.0,11829.29004
2020-11-16,15955.57715,16816.18164,15880.70606,16716.11133,31526766675.0,11924.12988
2020-11-17,16685.69141,17782.91992,16564.54492,17645.40625,39006849170.0,11899.33984
2020-11-18,17645.19141,18393.94922,17352.90625,17804.00586,49064800278.0,11801.59961
2020-11-19,17803.86133,18119.54688,17382.55469,17817.08984,36985055355.0,11904.70996
2020-11-20,17817.08398,18773.22656,17765.79492,18621.31445,36992873940.0,11854.96973
2020-11-21,18621.31641,18936.62109,18444.35938,18642.23242,39650210707.0,11854.96973
2020-11-22,18642.23242,18688.96875,17671.38477,18370.00195,41280434226.0,11854.96973
2020-11-23,18370.01758,18711.42578,18000.79688,18364.12109,42741112308.0,11880.62988
2020-11-24,18365.01563,19348.27148,18128.65625,19107.46484,51469565009.0,12036.79004
2020-11-25,19104.41016,19390.96484,18581.14648,18732.12109,43710357371.0,12094.40039
2020-11-26,18729.83984,18866.28516,16351.03516,17150.62305,61396835737.0,12094.40039
2020-11-27,17153.91406,17445.02344,16526.42383,17108.40234,38886494645.0,12205.84961
2020-11-28,17112.93359,17853.93945,16910.65234,17717.41406,32601040734.0,12205.84961
2020-11-29,17719.63477,18283.62891,17559.11719,18177.48438,31133957704.0,12205.84961
2020-11-30,18178.32227,19749.26367,18178.32227,19625.83594,47728480399.0,12198.74023
2020-12-01,19633.76953,19845.97461,18321.92188,18802.99805,49633658712.0,12355.11035
2020-12-02,18801.74414,19308.33008,18347.71875,19201.0918,37387697139.0,12349.37012
2020-12-03,19205.92578,19566.19141,18925.78516,19445.39844,31930317405.0,12377.17969
2020-12-04,19446.9668,19511.4043,18697.19336,18699.76563,33872388058.0,12464.23047
2020-12-05,18698.38477,19160.44922,18590.19336,19154.23047,27242455064.0,12464.23047
2020-12-06,19154.17969,19390.5,18897.89453,19345.12109,25293775714.0,12464.23047
2020-12-07,19343.12891,19411.82813,18931.14258,19191.63086,26896357742.0,12519.9502
2020-12-08,19191.5293,19283.47852,18269.94531,18321.14453,31692288756.0,12582.76953
2020-12-09,18320.88477,18626.29297,17935.54688,18553.91602,34420373071.0,12338.9502
2020-12-10,18553.29883,18553.29883,17957.06445,18264.99219,25547132265.0,12405.80957
2020-12-11,18263.92969,18268.45313,17619.5332,18058.9043,27919640985.0,12377.87012
2020-12-12,18051.32031,18919.55078,18046.04102,18803.65625,21752580802.0,12377.87012
2020-12-13,18806.76563,19381.53516,18734.33203,19142.38281,25450468637.0,12377.87012
2020-12-14,19144.49219,19305.09961,19012.70898,19246.64453,22473997681.0,12440.04004
2020-12-15,19246.91992,19525.00781,19079.8418,19417.07617,26741982541.0,12595.05957
2020-12-16,19418.81836,21458.9082,19298.31641,21310.59766,44409011479.0,12658.19043
2020-12-17,21308.35156,23642.66016,21234.67578,22805.16211,71378606374.0,12764.75
2020-12-18,22806.79688,23238.60156,22399.8125,23137.96094,40387896275.0,12755.63965
2020-12-19,23132.86523,24085.85547,22826.47266,23869.83203,38487546580.0,12755.63965
2020-12-20,23861.76563,24209.66016,23147.71094,23477.29492,37844228422.0,12755.63965
2020-12-21,23474.45508,24059.98242,22159.36719,22803.08203,45852713981.0,12742.51953
2020-12-22,22794.03906,23789.90234,22430.60547,23783.0293,44171632681.0,12807.91992
